Name;CodIBGE;Categoria;Longitude;Latitude
SANTO AUGUSTO;4317806;CIDADE;-53.7788495982932;-27.8534907756234
CAMPO NOVO;4304002;CIDADE;-53.8028138686737;-27.6744926094406
CORONEL BICACO;4305900;CIDADE;-53.70912810650141;-27.7178730188616
REDENTORA;4315404;CIDADE;-53.64193369399529;-27.6615398818935
CRUZ ALTA;4306106;CIDADE;-53.6052407621196;-28.6424466076948
BOA VISTA DO INCRA;4302238;CIDADE;-53.3887049606029;-28.8184880332213
PANAMBI;4313904;CIDADE;-53.5002651674452;-28.2927305361369
FORTALEZA DOS VALOS;4308458;CIDADE;-53.2355232639118;-28.7878829701972
QUINZE DE NOVEMBRO;4315354;CIDADE;-53.09672205678179;-28.7423613491272
ALTO ALEGRE;4300554;CIDADE;-52.9907552806891;-28.7747455362725
IBIRUBÁ;4310009;CIDADE;-53.08835401952331;-28.627607781644
SANTA BÁRBARA DO SUL;4316709;CIDADE;-53.25052670755039;-28.3651668159572
COLORADO;4305603;CIDADE;-52.9931763194633;-28.5229477591022
SALDANHA MARINHO;4316436;CIDADE;-53.0941072015607;-28.4032861698965
CONDOR;4305702;CIDADE;-53.48894333085291;-28.2052957745073
DOIS IRMÃOS DAS MISSÕES;4306429;CIDADE;-53.5308646235229;-27.6575367306726
PALMEIRA DAS MISSÕES;4313706;CIDADE;-53.3149539105514;-27.900620874651
BOA VISTA DAS MISSÕES;4302154;CIDADE;-53.31275639375811;-27.666111034262
CHAPADA;4305306;CIDADE;-53.0672769044206;-28.0584504604556
NOVA BOA VISTA;4312955;CIDADE;-52.9814768438008;-27.9879676583412
SÃO PEDRO DAS MISSÕES;4319364;CIDADE;-53.24736897885261;-27.7713084599705
LAJEADO DO BUGRE;4311429;CIDADE;-53.1813871337597;-27.6907694076033
SAGRADA FAMÍLIA;4316428;CIDADE;-53.1356517180311;-27.7067309897243
NOVO BARREIRO;4313490;CIDADE;-53.1134988510144;-27.90678846624491
BARRA FUNDA;4301958;CIDADE;-53.0362966696036;-27.923825844394
SÃO JOSÉ DAS MISSÕES;4318457;CIDADE;-53.1187752690111;-27.7781833172731
NOVO XINGU;4313466;CIDADE;-53.0641092994744;-27.7481146913576
CONSTANTINA;4305801;CIDADE;-52.98773883211369;-27.7304110856673
NOVA CANDELÁRIA;4313011;CIDADE;-54.1041142397608;-27.6120981601716
CRISSIUMAL;4306007;CIDADE;-54.10003490616531;-27.4980122686194
SEDE NOVA;4320230;CIDADE;-53.9558847238338;-27.6311628717037
HUMAITÁ;4309704;CIDADE;-53.9765055737001;-27.5614898153462
TIRADENTES DO SUL;4321477;CIDADE;-54.0853922050406;-27.3968988834236
TRÊS PASSOS;4321907;CIDADE;-53.9296989580111;-27.45615988307
ESPERANÇA DO SUL;4307450;CIDADE;-53.9927678151195;-27.3599436080705
BOM PROGRESSO;4302378;CIDADE;-53.8667908856402;-27.5467742033812
BRAGA;4302600;CIDADE;-53.74432938207521;-27.6191925067591
TENENTE PORTELA;4321402;CIDADE;-53.7572696148981;-27.3721669183435
MIRAGUAÍ;4312302;CIDADE;-53.6859940447681;-27.4960764222926
DERRUBADAS;4306320;CIDADE;-53.8651194603325;-27.2653909355284
VISTA GAÚCHA;4323705;CIDADE;-53.7013197816331;-27.289978374572
PINHEIRINHO DO VALE;4314498;CIDADE;-53.6195609569296;-27.2097627884918
BARRA DO GUARITA;4301859;CIDADE;-53.7144126933058;-27.1880699607268
ITAPIRANGA;4208401;CIDADE;-53.7148020649025;-27.1753750887232
TUNÁPOLIS;4218756;CIDADE;-53.641459736047;-26.972223590726
SANTA HELENA;4215554;CIDADE;-53.6199878739379;-26.9398439228776
BANDEIRANTE;4202081;CIDADE;-53.64104958659;-26.7689379005651
PARAÍSO;4212239;CIDADE;-53.6753141316767;-26.6152629700366
ERVAL SECO;4307302;CIDADE;-53.5095730836612;-27.5494171257352
PALMITINHO;4313805;CIDADE;-53.5555460129883;-27.3560199131671
VISTA ALEGRE;4323507;CIDADE;-53.49241046612481;-27.3700841693036
TAQUARUÇU DO SUL;4321329;CIDADE;-53.46695195961439;-27.3980360501364
SEBERI;4320206;CIDADE;-53.4054673035279;-27.4804138157532
FREDERICO WESTPHALEN;4308508;CIDADE;-53.40077673885141;-27.3588824116103
SÃO JOÃO DO OESTE;4216255;CIDADE;-53.59596667974431;-27.0974826246758
CAIÇARA;4303400;CIDADE;-53.43189548510399;-27.2809406638578
VICENTE DUTRA;4323101;CIDADE;-53.4021290554095;-27.1684450433776
MONDAÍ;4211009;CIDADE;-53.3986840279187;-27.1036116933375
RIQUEZA;4215075;CIDADE;-53.3252862115099;-27.0675941638144
JABOTICABA;4310850;CIDADE;-53.2843894020471;-27.6312223855182
PINHAL;4314456;CIDADE;-53.2147061788915;-27.511674242684
CERRO GRANDE;4305157;CIDADE;-53.1659130764764;-27.6079801339615
NOVO TIRADENTES;4313441;CIDADE;-53.1857025890656;-27.5635584337012
CRISTAL DO SUL;4306072;CIDADE;-53.2491844952574;-27.4536295663969
RODEIO BONITO;4315909;CIDADE;-53.16853060434379;-27.4704034346893
AMETISTA DO SUL;4300646;CIDADE;-53.1921772619969;-27.3564254730142
LIBERATO SALZANO;4311601;CIDADE;-53.0748607372178;-27.5964701630804
IRAÍ;4310504;CIDADE;-53.26429601851491;-27.1922819742509
CAIBI;4203105;CIDADE;-53.2505271955837;-27.0730539317928
PALMITOS;4212106;CIDADE;-53.1622672928949;-27.0702505484029
PLANALTO;4314704;CIDADE;-53.058880813139;-27.331463874696
ALPESTRE;4300505;CIDADE;-53.03736604855119;-27.2487687559215
SÃO CARLOS;4216008;CIDADE;-53.017394273321;-27.0786350771308
ÁGUAS DE CHAPECÓ;4200507;CIDADE;-52.9872510056855;-27.0762129117104
IPORÃ DO OESTE;4207650;CIDADE;-53.5395118843069;-26.9960166785808
BELMONTE;4202156;CIDADE;-53.5809772314809;-26.844586346722
DESCANSO;4204905;CIDADE;-53.5046288706139;-26.8178702202313
FLOR DO SERTÃO;4205357;CIDADE;-53.3448914354815;-26.7794323280009
SÃO MIGUEL DO OESTE;4217204;CIDADE;-53.5188394061561;-26.7264271759021
GUARACIABA;4206405;CIDADE;-53.52208971818379;-26.6003475699992
PRINCESA;4214151;CIDADE;-53.5981058756425;-26.4443352060677
SÃO JOSÉ DO CEDRO;4216701;CIDADE;-53.5001241069131;-26.456060296096
BARRA BONITA;4202099;CIDADE;-53.44130254060449;-26.6522935990991
ROMELÂNDIA;4215208;CIDADE;-53.320158400046;-26.6794635623605
ANCHIETA;4200804;CIDADE;-53.333270177229;-26.5356808599025
CUNHA PORÃ;4204707;CIDADE;-53.1738455719665;-26.8917270816889
IRACEMINHA;4207759;CIDADE;-53.2760577940404;-26.8240650308153
MARAVILHA;4210506;CIDADE;-53.174818815895;-26.7616239465027
CUNHATAÍ;4204756;CIDADE;-53.09329049259039;-26.9731396975643
SAUDADES;4217303;CIDADE;-52.9955697272511;-26.9197569502826
MODELO;4210902;CIDADE;-53.0535007992379;-26.7780420749367
PINHALZINHO;4212908;CIDADE;-52.9822532451308;-26.8488143334593
SÃO MIGUEL DA BOA VISTA;4217154;CIDADE;-53.25455637668019;-26.6944751445592
TIGRINHOS;4217956;CIDADE;-53.1575419839148;-26.6894748370017
SANTA TEREZINHA DO PROGRESSO;4215687;CIDADE;-53.1998469616569;-26.6197755731101
BOM JESUS DO OESTE;4202578;CIDADE;-53.0953502802337;-26.6918115538359
SALTINHO;4215356;CIDADE;-53.05863124892601;-26.6085589188173
SERRA ALTA;4217550;CIDADE;-53.0462763415455;-26.7247733732928
FOZ DO IGUAÇU;4108304;CIDADE;-54.5871024886046;-25.5424932787946
SANTA TEREZINHA DE ITAIPU;4124053;CIDADE;-54.39951873112721;-25.44216051268401
ITAIPULÂNDIA;4110953;CIDADE;-54.3050007423361;-25.1384806502357
SANTA HELENA;4123501;CIDADE;-54.3364531522835;-24.8570958299164
DIONÍSIO CERQUEIRA;4205001;CIDADE;-53.63139512282729;-26.266488532911
BARRACÃO;4102604;CIDADE;-53.6350002652568;-26.2526028434601
SANTO ANTÔNIO DO SUDOESTE;4124400;CIDADE;-53.7230834338629;-26.0749754778129
PRANCHITA;4120358;CIDADE;-53.742622639593;-26.0156642879852
PÉROLA D'OESTE;4119004;CIDADE;-53.740108472608;-25.8282656759615
BELA VISTA DA CAROBA;4102752;CIDADE;-53.6660426284896;-25.8794933215093
